match_id,match_date,team_a_raw_name,team_b_raw_name,team_a_id,team_b_id,team_a_is_wc2026,team_b_is_wc2026,tournament,neutral_flag,importance,team_a_pre_elo,team_b_pre_elo,pre_elo_difference,team_a_host_advantage,team_b_host_advantage,team_a_score,team_b_score,target_result,team_a_matches_last_5,team_a_wins_last_5,team_a_points_avg_last_5,team_a_goal_diff_avg_last_5,team_a_matches_last_10,team_a_wins_last_10,team_a_points_avg_last_10,team_a_goals_for_avg_last_10,team_a_goals_against_avg_last_10,team_a_goal_diff_avg_last_10,team_a_avg_opponent_elo_last_10,team_a_days_since_last_match,team_b_matches_last_5,team_b_wins_last_5,team_b_points_avg_last_5,team_b_goal_diff_avg_last_5,team_b_matches_last_10,team_b_wins_last_10,team_b_points_avg_last_10,team_b_goals_for_avg_last_10,team_b_goals_against_avg_last_10,team_b_goal_diff_avg_last_10,team_b_avg_opponent_elo_last_10,team_b_days_since_last_match,wins_last_5_difference,points_avg_last_5_difference,goal_diff_avg_last_5_difference,goals_for_avg_last_10_difference,goals_against_avg_last_10_difference,goal_diff_avg_last_10_difference,avg_opponent_elo_last_10_difference,days_since_last_match_difference,match_date_dt
HIST_000033,2014-03-05,Mali,Senegal,Mali,SEN,0,1,Friendly,1.0,10.0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05
HIST_000034,2014-03-05,Montenegro,Ghana,Montenegro,GHA,0,1,Friendly,0.0,10.0,1500.0,1510.0313252789083,-10.031325278908298,1.0,0.0,1,0,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,1.0,1.0,3.0,1.0,1,1,3.0,1.0,0.0,1.0,1500.0,60.0,-1.0,-3.0,-1.0,-1.0,0.0,-1.0,0.0,305.0,2014-03-05
HIST_000035,2014-03-05,Morocco,Gabon,MAR,Gabon,1,0,Friendly,0.0,10.0,1500.0,1500.0,0.0,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05
HIST_000036,2014-03-05,Poland,Scotland,Poland,SCO,0,1,Friendly,0.0,10.0,1512.2221406603114,1500.0,12.222140660311425,1.0,0.0,0,1,0,1.0,1.0,3.0,3.0,1,1,3.0,3.0,0.0,3.0,1508.4657359027997,46.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,1.0,3.0,3.0,3.0,0.0,3.0,8.465735902799679,-319.0,2014-03-05
HIST_000037,2014-03-05,Portugal,Cameroon,POR,Cameroon,1,0,Friendly,0.0,10.0,1500.0,1500.0,0.0,1.0,0.0,5,1,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05
HIST_000038,2014-03-05,Qatar,Bahrain,QAT,Bahrain,1,0,AFC Asian Cup qualification,0.0,40.0,1536.3066347612214,1483.8929918529527,52.413642908268685,1.0,0.0,0,0,1,2.0,2.0,3.0,2.5,2,2,3.0,2.5,0.0,2.5,1508.0535040735235,57.0,1.0,0.0,0.0,-1.0,1,0,0.0,0.0,1.0,-1.0,1516.9314718055994,60.0,2.0,3.0,3.5,2.5,-1.0,3.5,-8.877967732075831,-3.0,2014-03-05
HIST_000039,2014-03-05,Romania,Argentina,Romania,ARG,0,1,Friendly,0.0,10.0,1500.0,1500.0,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05
HIST_000040,2014-03-05,Saudi Arabia,Indonesia,KSA,Indonesia,1,0,AFC Asian Cup qualification,0.0,40.0,1500.0,1500.0,0.0,1.0,0.0,1,0,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05
HIST_000041,2014-03-05,South Africa,Brazil,RSA,BRA,1,1,Friendly,0.0,10.0,1500.0,1500.0,0.0,1.0,0.0,0,5,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05
HIST_000042,2014-03-05,Spain,Italy,ESP,Italy,1,0,Friendly,0.0,10.0,1500.0,1500.0,0.0,1.0,0.0,1,0,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05
